o_zone_id,d_zone_id,dist_km,volume
19,19,0.0,0.0
19,22,1.7971168814471736,15.620029801111434
19,25,3.7631378411785024,0.0
19,54,2.348705415089931,0.0
19,55,2.1456664238495726,0.0
19,59,4.341307621443523,0.0
19,61,3.810073027080224,0.0
19,67,3.759256990703991,0.20878850160127335
19,69,2.3234614101054936,0.0
19,72,1.854775896893534,17.714115035513476
19,78,2.6928322781950476,0.0
19,108,3.9651449260427376,0.0
19,110,3.763035374541735,8.641706692109532
19,112,2.7230541430378756,0.0
19,113,1.958081611218517,2.1839378706114285
19,114,1.9495346602553818,0.0
19,118,1.8734648235955405,8.834949140572
19,119,0.8338547207446187,94.38684151334442
19,147,1.3442612475515079,33.611901431129
19,187,2.4753168668439884,2.1285625597466487
19,204,2.557793316712735,36.58296961002889
19,220,1.7220731112161598,18.593852175475245
19,235,3.435445702210941,47.336553778409694
19,239,1.7558223691531303,20.239550851505353
19,273,1.6556752701265307,22.743191104967195
19,281,2.2921736100398826,0.0
19,289,1.9492436480292008,0.0
19,443,2.338703588167202,0.0
19,461,3.78058086325431,0.0
19,467,3.7691700361103577,0.08795649486054338
19,495,4.149974383319081,20.070050033657903
19,497,4.188260808379014,0.0
19,501,2.693400606626882,0.13964613047218316
19,601,0.6834209589323921,18.28856255412499
19,614,2.869910978828706,48.64817528461622
19,636,1.114065007091647,34.586883724781664
19,639,2.2539302080849435,42.40954244818684
19,640,2.584063018505013,0.031559763024872796
19,641,2.4868057479319616,13.000608268536823
19,642,1.6494494452871924,19.38628855327979
19,643,1.624959437879292,0.4577590864487815
19,644,1.9461817247169202,51.12994087394688
19,645,1.6487757706558477,7.36707894796561
19,646,1.6371147059077475,41.15786107203563
19,647,2.487139515451223,8.671594837365678
19,648,0.7465895632366197,103.197937382313
19,649,1.9998548850725024,13.172943205405153
19,650,1.9014466785703257,0.26109180929871634
19,651,1.1983526433881309,34.26452543860981
19,652,1.6672956771377976,11.684387935561865
19,653,1.0743198803722482,15.189560091290083
19,654,1.166986358629226,26.87314520338542
19,655,0.6254891917688103,59.89436052827855
19,656,0.4129772321672304,71.03428309906619
19,658,3.684190154839818,0.0
19,661,3.600340700713793,41.49970845071753
19,674,1.3305151382475258,69.55913755660484
19,675,1.763285193278501,4.483179395798728
19,678,3.7067742815977516,19.49040935210672
19,686,1.8782653501983535,31.30596060335296
19,689,1.8698824552914994,35.62123334019516
19,692,0.8438343978792199,46.22433327035577
19,707,1.763199321049228,9.205540394292303
19,710,3.2231502692191167,27.445958541045023
19,713,1.5818110100449296,20.678674625648835
19,715,1.8622204374078026,0.0
19,716,1.312656676549833,64.7550819375819
19,718,1.1629662480843388,6.922611454656526
19,725,1.0368431410950065,34.69139831295565
22,19,1.7971168814471736,17.426670484791405
22,22,0.0,0.0
22,25,4.955750990707391,0.0
22,54,0.6007089025932707,0.0
22,55,0.4195873613283359,0.0
22,59,5.406662157031643,0.0
22,61,4.994120164742969,0.0
22,67,4.953231126923067,0.04970526420441559
22,69,0.611169854347388,0.0
22,72,0.09400224559449756,6.4736831107148465
22,78,0.9707478865603106,0.0
22,108,5.161312517144076,0.0
22,110,4.948394520178822,2.05955189579897
22,112,1.0125289133471382,0.0
22,113,0.2445617116632013,0.7793164187290077
22,114,0.24705254661749146,0.0
22,118,0.3699684957825872,3.0442427787263706
